"Band","Genre","Location","Years active"
"Queef Huffer","Brutal Death Metal/Grindcore","Jacksonville, Florida","2005-Present"
"Queen Acid","Heavy/Thrash Metal/Grunge/Hard Rock","Joliet, Illinois","1991-1995"
"Queen Annes Revenge","Metalcore","Panama City Beach, Florida","N/A"
"Queen Assassin","Heavy/Power Metal","Louisville, Kentucky","N/A"
"Queen Beast","Stoner/Sludge Metal","Fayetteville, Arkansas","2007-2008 (as Pile of Dead Women), 2008-2009"
"Queen Dementia","Melodic Heavy Metal","Fort Lauderdale, Florida","2010-Present"
"Queensrÿche","Heavy/Power/Progressive Metal (early/later); Hard Rock (mid)","Bellevue, Washington","1981-1982 (as The Mob), 1982-Present"
"Queensrÿche","Heavy/Groove Metal","Seattle, Washington","2012-2014, 2014-? (as Operation: Mindcrime)"
"Queequeg","Black Metal",,"2013-?"
"Quehanna","Progressive/Power Metal","Pennsylvania","1999-Present"
"Quell","Grindcore/Groove Metal/Metalcore","Greensboro, North Carolina","2001-?"
"Quell","Black Metal","San Luis Obispo, California (early); Stockholm, Sweden (later)","N/A"
"Quest","Heavy Metal","Chicago, Illinois","N/A"
"Question of Madness","Heavy/Doom Metal","Chicago, Illinois","2009-Present"
"Quick Change","Thrash Metal","Chicago, Illinois","1981-1989, 2000-Present"
"Quick Fever","Progressive Neoclassical Power/Speed Metal","Boston, Massachusetts","?-? (as Rigor Mortis), ?-?"
"Quick Fix","Melodic Heavy Metal/Hard Rock","Dallas, Texas","1988-?"
"Quick Frisk","Melodic Heavy Metal/Hard Rock","Indianapolis, Indiana","1991-?"
"Quicksand Devil","Thrash/Groove Metal","Omaha, Nebraska","2010-Present"
"Quiet Riot","Hard Rock, Heavy Metal","Los Angeles, California","1973-1973 (as Mach 1), 1973-1975 (as Little Women), 1975-2003, 2004-2008, 2010-Present"
"Quietus","Death/Black Metal","Rossville, Georgia","2000-2006"
"Quietus","Progressive Thrash Metal","Valparaiso, Indiana","2009-2010, 2010-? (as Testimony)"
"Quills","Grindcore/Sludge Metal","Baltimore, Maryland","2005-2011"
"Quimico","Experimental Death Metal","Massachusetts","2021-Present"
"Quincunx","Black/Thrash Metal/Punk","Grand Rapids, Michigan","2013-2015"
"Quinta Essentia","Black/Death/Thrash Metal","Huntsville, Alabama","2004-Present"
"Quintessence","Black Metal","Lansing, Michigan","N/A"
"Quis Deo","Heavy/Thrash Metal","Morton, Pennsylvania","N/A"
"Quivering Husk","Doom Metal","Duluth, Minnesota","N/A"
"Quixotic","Heavy Metal","Houston, Texas","N/A"
"Qulielfi","Psychedelic Folk/Black Metal","Seattle, Washington","N/A"
"Qusayu","Death Metal","Rochester, New York (early); Moberly, Missouri (later)","1997-?"
"Qwestion","Progressive/Industrial Metal","Muskegon, Michigan","1998-Present"
"R.A.V.A.G.E.","Death/Thrash Metal","Sarasota, Florida","1984-1985 (as Oblivion), 1985-1987, 1987-1994 (as Atheist), 2006-? (as Atheist)"
"R.C.P","Death/Doom Metal","Dover, Delaware","2007-2007 (as Reaping Stone), 2007-2007, 2007-2011 (as Martyrs Melancholy), 2011-2014 (as Systematic Messiah)"
"R.I.P.","Power/Thrash Metal","Seattle, Washington","1986-1997, 2013-Present"
"R.I.P.","Doom Metal","Portland, Oregon","2011-Present"
"R.O.C.K.","Heavy Metal","Arlington, Texas","1987-1992, 1992-2005 (as Thunderchild)"
"R.O.T.","Power/Speed Metal","York, Pennsylvania","?-1986 (as Nightmare), 1986-?"
"R.U. Deadly","Thrash/Power Metal","Salem, Ohio","1987-1998, 2007-2007"
"R.Y.N.O.","Death Metal","San Francisco, California","2021-Present"
"R'lyeh","Progressive Stoner/Post-Metal","Indianapolis, Indiana","2013-2015"
"R'lyeh","Progressive/Black Metal","Tempe, Arizona","N/A"
"R230","Heavy Metal","Yonkers, New York","?-2007, 2007-? (as Earthbound), ?-? (as Earthbound A.D.)"
"Raaz","Death Metal","Anchorage, Alaska","2010-?"
"Rabbi Steel","Heavy Metal","Buffalo, New York","N/A"
"Rabbits","Sludge Metal","Portland, Oregon","2005-Present"
"Rabid","Death Metal (early); Thrash Metal (later)","Moravia, New York","2003-Present"
"Rabid","Thrash/Speed Metal","Sacramento, California","1984-1987"
"Rabid","Technical Death Metal","Boston, Massachusetts","2016-?"
"Rabid Beast","Thrash Metal","Chicago, Illinois","2012-2013, 2019-Present"
"Rabid Captor","Thrash Metal","Milwaukee, Wisconsin","1989-?"
"Rabid Flesh Eaters","Thrash/Death Metal","Arlington, Texas","1986-1993, 1998-Present"
"Rabid Lassie","Thrash Metal/Crossover","San Ramon, California","1985-1988"
"Race of Devils","Stoner Metal","Columbus, Ohio","2013-Present"
"Racer X","Heavy Metal/Shred","Los Angeles, California","1984-1989, 1997-2009"
"Rachels Coven","Power Metal","Wheeling, West Virginia","2006-?"
"Racing Fate","Groove Metal","Cape May Court House, New Jersey","2015-Present"
"Racism","Death Metal/Grindcore","Arizona","2020-Present"
"Rad Enhancer","Thrash Metal","Minneapolis, Minnesota","2015-Present"
"Radagast","Atmospheric Black/Folk Metal","California","N/A"
"Radakka","Progressive/Power Metal","Chicago, Illinois","1988-1999"
"Radamanthys","Death/Thrash Metal","Gaithersburg, Maryland","2009-Present"
"Radegast","Black Metal","Allentown, Pennsylvania","1997-2000"
"Radian","Sludge/Doom Metal","Akron, Ohio","2017-Present"
"Radiant Beings of Light","Doom/Sludge Metal","Asheville, North Carolina","2014-Present"
"Radiant Knife","Progressive/Sludge Metal","Lafayette, Louisiana","2016-Present"
"Radiation 4","Technical Avant-garde Metal","Diamond Bar, California","2001-2007"
"Radiation Sickness","Death/Thrash Metal/Crossover","Indianapolis, Indiana","1987-?, 2010-?"
"Radiation Sickness","Black Metal","Corona, California","2011-2014"
"Radiation Vomit","Grindcore/Death Metal","California","N/A"
"Radiatrix","Thrash/Groove Metal","Canton, Ohio","2012-2018"
"Radical Discharge","Thrash Metal/Crossover","Baltimore, Maryland","N/A"
"Radical Dream","Heavy Metal","Souderton, Pennsylvania","1987-1993, 2008-?"
"Radicalizer","Death Metal","Iowa","2020-Present"
"Radio","Speed Metal","Miami, Florida","2004-2007, 2007-2016 (as Black Tide)"
"Radio Planet","Heavy Metal","Long Island, New York","1979-1992"
"Radium","Progressive Heavy Metal","Guilford, Connecticut","1988-1991"
"Radius","Progressive Black Metal","Shingle Springs, California","N/A"
"Rage from Within","Melodic Death/Thrash Metal","Long Island, New York","2007-?"
"Rage of Angels","Melodic Heavy Metal/Hard Rock","Stamford, Connecticut","1987-1989"
"Rage of Angels","Heavy Metal","Salem, Massachusetts","N/A"
"Rage of Devils","Raw Black Metal/Black 'n' Roll","Kentucky","N/A"
"Rage of War","Thrash Metal","Livermore, California","2017-Present"
"Ragen Gagen","Thrash Metal","Waldron, Arkansas","2004-Present"
"Raging Fire","Heavy Metal","Newburyport, Massachusetts","?-? (as Hellbound), 2008-?"
"Raging Grace","Heavy/Progressive/Power Metal","Cleveland, Ohio","1987-1988 (as Vigilanti), 1988-?"
"Raging Saint","Heavy Metal","Austin, Texas","N/A"
"Ragnar","Black Metal","South Bend, Indiana","N/A"
"Ragweed","Death Metal/Grindcore","San Jose, California","N/A"
"Rahmer","Death Metal/Grindcore","Phoenix, Arizona","N/A"
"Rahvn","Black/Death Metal","St. Cloud, Minnesota","N/A"
"Rahway","Heavy/Groove Metal","Goethels Bridge, New York/New Jersey","N/A"
"Raid","Thrash Metal","Henrietta, New York","1988-1991"
"Raiden","Heavy/Thrash Metal","Norwalk, California","2011-Present"
"Raider","Thrash Metal","Austin, Texas","N/A"
"Rail Rage","Thrash Metal","Petaluma, California","2017-2017, 2020-Present"
"Railgun","Power/Thrash Metal","Long Beach, California","2013-Present"
"Railhazer","Stoner/Sludge Metal","St. Louis, Missouri","2015-Present"
"Railsplitter","Stoner Metal with Doom Metal influences","Orlando, Florida","2002-2006"
"Rain","Thrash Metal","Artesia, New Mexico","2001-Present"
"Rain Fell Within","Symphonic Gothic Metal","Chantilly, Virginia","1996-2002"
"Rainbow","Hard Rock/Heavy Metal","Los Angeles, California; Connecticut; New York","1975-1984, 1994-1997, 2015-Present"
"Rainbows Are Free","Doom/Stoner Metal/Rock","Norman, Oklahoma","2007-Present"
"Rainfall","Drone/Ambient Black Metal","Bradenton, Florida","2006-?"
"Rainwound","Progressive Rock/Blackened Melodic Death/Folk Metal","Burgettstown, Pennsylvania","2005-Present"
"Raise the Death Toll","Death Metal/Deathcore","New Orleans, Louisiana","2016-Present"
"Raise the Guns","Melodic Thrash Metal","San Diego, California","N/A"
"Raise the Shield","Power/Thrash Metal","Indianapolis, Indiana","2006-?"
"Raised by Falcons","Deathcore","Fairfield, Connecticut","N/A"
"Raised by Lycans","Black/Death Metal","Grenada, Mississippi","2010-Present"
"Raised by Wolves","Death/Thrash Metal","Santa Barbara, California","2010-Present"
"Raising Cain","Power Metal","Huntington Beach, California","N/A"
"Rakün","Black Metal","Massachusetts","N/A"
"Rale","Death Metal","Durham, North Carolina","N/A"
"Ralph","Thrash Metal/Crossover","Baltimore, Maryland","2012-Present"
"Ramapithecus","Raw Black Metal","Idaho","2019-Present"
"Rambo Hates Rainbows","Black/Sludge/Doom Metal, Noisecore, Electronic","Henderson, Kentucky","2011-2016"
"Ramihrdus","Atmospheric Black Metal/Ambient","Wisconsin","2012-Present"
"Ramit","Heavy/Speed Metal","Los Angeles, California","N/A"
"Ramius","Black/Death Metal","Boston, Massachusetts","2011-Present"
"Ramlord","Crust Punk, Black Metal","Dover, New Hampshire","2011-2015"
"Ramming Speed","Thrash Metal/Crossover","Boston, Massachusetts (early); Richmond, Virginia (later)","2005-2007 (as Despotic Robot), 2007-Present"
"Rammpage","Heavy Metal/Hard Rock","Fort Myers, Florida","1984-?, 1993-1993"
"Rampage","Various","Augusta, Georgia","1989-1990, 1995-?"
"Rampage","Heavy Metal","Wheeling, West Virginia","1988-1989 (as Saint's Dominion), 1989-1991, 1991-1994, 1991-?, 1994-1996, 2012-2014"
"Rampage","Thrash Metal","Anoka, Minnesota","2008-?"
"Rampage","Heavy Metal","Chicago, Illinois","1982-?, ?-1986 (as Vice), 1986-? (as Ravage)"
"Ramprasad","Atmospheric Sludge Metal/Hardcore","Portland, Oregon","2016-Present"
"Ramrod","Power Metal","Rochester, New York","1992-1994"
"Ramtin Aynie","Progressive Heavy/Groove Metal","Corona, California","N/A"
"Rancid","Death Metal/Goregrind","Choctaw, Oklahoma","2013-2015 (as Rancid), 2015-2016 (as Bone Shard), 2016-? (as Mental Dissonance)"
"Rancid","Thrash Metal","Dallas, Texas","N/A"
"Rancid Christ","Death Metal","Rhode Island","N/A"
"Rancid Decay","Thrash Metal/Crossover","Baltimore, Maryland","1985-1989"
"Rancid Guts","Death Metal/Grindcore","Richmond, Virginia","2011-?"
"Rancid Nut Sauce","Brutal Death Metal","Gibsonburg, Ohio","2008-?"
"RanCoffin","Black Metal/Crust Punk","New Orleans, Louisiana","2019-Present"
"Rancor","Speed/Thrash Metal","Spokane, Washington","N/A"
"Rancor","Death Metal","North Royalton, Ohio","1995-1996"
"Rancorous","Black/Death/Thrash Metal","Boston, Massachusetts","N/A"
"Rancorous","Brutal Death Metal","Indianapolis, Indiana","2021-Present"
"Randall Flagg","Death Metal/Hardcore","Jersey City, New Jersey","1999-?"
"Randall Flagg","Progressive Power Metal","Bay Area, California","N/A"
"Randall Frost Project","Groove Metal","Matawan, New Jersey","1999-? (as Speeed), ?-1999"
"Random Acts of Violence","Thrash Metal with Punk influences","Boston, Massachusetts","1999-2007"
"Random Allusion","Experimental Progressive Metal","El Paso, Texas & Ciudad Juarez (Mexico)","N/A"
"Random Conflict","Thrash Metal/Hardcore/Crossover","Huntsville, Alabama","1988-1993, 1996-Present"
"Random Damage","Progressive Heavy/Thrash Metal","San Diego, California","N/A"
"Random Disfigurement","Death Metal/Grindcore","Council Bluffs, Iowa","2002-?"
"Random Draw","Thrash Metal/Crossover","Philadelphia, Pennsylvania","1988-1990"
"Randy Blair","Symphonic/Progressive Metal","Houston, Texas","N/A"
"Randy Chapman","Heavy Metal","Orlando, Florida","N/A"
"Randy Pevler","Shred/Heavy Metal/Hard Rock","Valley Vilage, California","N/A"
"Randy Tri","Heavy Metal","Oregon","1994-?"
"Rangkor","Thrash Metal with Hardcore influences","San Jose, California","N/A"
"Rank and Vile","Grindcore/Powerviolence/Death Metal","Portland, Oregon","2018-Present"
"Rape Festival","Technical Brutal Death Metal","Orlando, Florida","2008-2009"
"Rape Pillage and Burn","Death Metal","Dallas, Texas","1997-?"
"Raped Ape","Thrash Metal","Lake Worth, Florida","1988-1994, 1994-1997 (as Paingod)"
"Rapheumets Well","Progressive Death/Black Metal","Hickory, North Carolina","2002-2006 (as Blue Man's God), 2006-Present"
"Rapid Crossfire","Thrash Metal","Los Angeles, California","N/A"
"Rapid Decay","Thrash Metal/Crossover","San Bernadino, California","1997-2007"
"Rapid Face","Thrash Metal/Crossover","Dallas, Texas","N/A"
"Rapid Fire","Heavy/Power Metal","San Francisco, California","1991-?"
"Rapid Fire","Heavy/Power Metal","Phoenix, Arizona","N/A"
"Rapid Fire","Heavy  Metal","Broken Arrow, Oklahoma","N/A"
"Rapid Fire","Thrash Metal","Venice, California","N/A"
"Rapid Kill","Thrash Metal","San Francisco, California","N/A"
"Rapid Steel","Power/Thrash Metal","Humble, Texas","2008-2012"
"Rapier","Power Metal","San Francisco, California","N/A"
"Rapscallion","Progressive Metal","Madison, Wisconsin","N/A"
"Raptor","Black/Thrash Metal","Portland, Oregon","2011-Present"
"Raptor Claw","Black/Thrash Metal","Minneapolis, Minnesota","2014-Present"
"Raptor Command","Power Metal",,"2016-Present"
"Raptor School","Heavy Metal","Grand Rapids, Michigan","?-? (as Vacation Farm), 2001-Present"
"Rapture","Heavy Metal","Albuquerque, New Mexico","1985-1989, 1989-? (as The Moshketeers)"
"Rapture Cabaret","Melodic Death Metal","Wilmington, North Carolina","2003-?"
"Rare Breed","Melodic Heavy Metal/Hard Rock","Concord, California","N/A"
"Rare Condition","Sludge/Doom Metal","Eaton Rapids, Michigan","N/A"
"Rare Form","Death Metal","Portland, Maine","1994-?"
"Rasha'im","Black Metal","Denver, Colorado","2014-Present"
"Rasp","Death Metal/Grindcore","Richmond, Virginia","1997-?"
"Raspberry Bulbs","Black Metal/Punk","New York, New York","2008-Present"
"Rasputin","Sludge/Doom/Stoner Metal","Spokane, Washington","2013-?"
"Rasputitsa","Black Metal","Akron, Ohio","2020-Present"
"Rat Attack","Heavy Metal","Honolulu, Hawaii","1982-1985"
"Rat Infested","Thrash Metal","Sterling, Virginia / Washington, D.C.","N/A"
"Rat King","Stoner/Sludge Metal (early); Death Metal/Grindcore (later)","Seattle, Washington","N/A"
"Rat King","Stoner/Doom Metal","Evansville, Indiana","N/A"
"Rat Race","Heavy Metal","Plainfield, New Jersey","N/A"
"Rat Salad","Doom Metal","Maryland","N/A"
"Rat Stick","Deathcore","Daytona Beach, Florida","N/A"
"RatChapel","Black/Doom Metal","Kentucky","N/A"
"Ratchetjaw","Thrash Metal","Saginaw, Michigan","2002-?"
"Rate of Decay","Thrash Metal/Metalcore","Buffalo, New York","N/A"
"Rated X","Heavy/Power Metal","Kearny, New Jersey","1985-?"
"Rated X","Heavy Metal/Hard Rock","Miami, Florida","N/A"
"Räthe","Thrash Metal","Camden, North Carolina","2018-Present"
"Ratke","Progressive Metalcore","Ypsilanti, Michigan","N/A"
"RatPriest","Stoner/Heavy Metal","Portland, Oregon","2011-?"
"RattBlack","Heavy/Thrash Metal","Los Angeles, California","2013-?"
"Rattleface","Heavy Metal","Orange County, California","N/A"
"Rattlehead","Speed/Thrash Metal","Hollywood, California","2002-Present"
"Ratzkrieg","Thrash Metal","Garrett, Indiana","N/A"
"Raum","Sludge/Doom Metal","New Orleans, Louisiana","N/A"
"Ravage","Power/Speed Metal","Boston, Massachusetts","1995-Present"
"Ravage","Heavy Metal","Chicago, Illinois","1982-? (as Rampage), ?-1986 (as Vice), 1986-?"
"Ravage","Heavy Metal","Santa Barbara, California","?-?, ?-? (as Rager), 2015-Present"
"Ravage Realm","Death/Thrash Metal","Los Angeles, California","2015-Present"
"Ravaged","Death/Thrash Metal","San Jose, California","N/A"
"Ravaged by Ghouls","Blackened Death Metal/Deathcore","Pittsburgh, Pennsylvania","N/A"
"Raven Bitch","Heavy/Power/Thrash Metal","Janesville, Wisconsin","1983-1984 (as Night Hunter), 1984-1988"
"Raven Blayde","Heavy/Power Metal","Frankfort, Kentucky","N/A"
"Raven Mad","Heavy Metal","Long Beach, California","1998-2000"
"Raven Mocker","Funeral Doom Metal","Charlotte, North Carolina","N/A"
"Raven Payne","Progressive/Power Metal","Detroit, Michigan","1983-1987 (as Vampirella), 1987-1987, ?-?"
"Raven Wolf","Heavy Metal","Phoenix, Arizona","N/A"
"Raven X","Gothic/Death Metal","Cleveland, Ohio","2006-Present"
"Raven's Bane","Ambient","Seattle, Washington","1997-?"
"Ravencock","Death/Thrash/Heavy Metal","Los Angeles, California","2012-Present"
"Ravencrest","Melodic Death/Viking Metal","Pickens, South Carolina","2017-Present"
"Ravendawn","Raw Black Metal","Iowa","1997-?"
"Ravenhelm","Black/Pagan Metal","Goleta, California","2008-?"
"Ravenous Cadaver","Death Metal","Seattle, Washington","N/A"
"Ravens Dawn","Raw Black Metal","Arizona","N/A"
"Ravens over Gomorrah","Black Metal","Tustin, California","1997-?"
"Ravensbruck","Black Metal","Albany, New York","2007-Present"
"Ravensbrück 666","Black Metal","Glendale, Arizona","2007-2008"
"Ravenstench","Black Metal","Rio Grande City, Texas","2012-Present"
"Ravensthorn","Heavy/Power Metal","Chicago, Illinois","2001-2014"
"Ravine","Sludge/Groove Metal","Portland, Oregon","2018-Present"
"Ravish Warriors","Thrash/Speed Metal","Wilmington, California","N/A"
"Ravisher","Thrash Metal","Topeka, Kansas","N/A"
"Ravn","Black Metal","Richmond, Virginia","N/A"
"Ravnblod","Raw Black Metal","Austin, Texas","2012-Present"
"Raw Dögs","Speed/Heavy Metal/Punk","Los Angeles, California","2016-Present"
"Raw Energy","Power/Thrash Metal","Columbus, Ohio","N/A"
"Raw Hatred","Black Metal","Fairfax, Virginia","2003-?"
"Raw Hex","Grindcore","Charlotte, North Carolina","2012-2018 (as Votnut), 2018-Present"
"Raw Image","Heavy/Thrash Metal","Warren, Michigan","N/A"
"Raw Moon","Black Metal/Punk","Northampton, Massachusetts","2010-2010"
"Raw Sewage","Thrash/Death Metal","Mt. Blanchard, Ohio","2005-2008"
"Rawdogs","Heavy Metal/Hard Rock","Detroit, Michigan","2011-Present"
"Rawhead","Thrash Metal","Kirkland, Washington","1989-1994"
"Rawhead Rex","Groove Metal","Worcester, Massachusetts","1994-2001"
"Rawshock","Thrash Metal","Fort Lee, New Jersey","?-? (as Amulet), ?-?"
"Rawtopsy","Grindcore/Brutal Death Metal","Santa Venetia, California","N/A"
"Ray Gunn","Heavy Metal","Seattle, Washington","1986-1987"
"Rayearth","Progressive/Groove Metal","San Francisco, California","2017-2018"
"Rayze","Heavy Metal","Narragansett, Rhode Island","N/A"
"Razer","Melodic Heavy Metal","Phoenix, Arizona","2000-Present"
"Raziel","Black/Doom Metal","Missoula, Montana","N/A"
